PID,category code,subcategory code
L77R-H9J,0,1
L77R-H9J,3,4
GSCT-KFJ,8,3
LTXY-H64,1,1
LTXY-H64,1,2
LT6F-L53,3,2
LB14-GR4,0,2
LB14-GR4,4,1
GSCT-MD7,0,1
KLZ9-6GZ,1,1
KHM2-V4N,0,1
GSCY-NLF,13,1
GSCT-ZV2,3,3
L2CW-D3J,6,7
L12W-3K3,2,1
LR4Z-9LN,7,1
LT9Y-6G1,0,2
LT9Y-6G1,1,1
GSCT-M6Z,7,1
GSCY-82T,3,2
LRCP-XBG,2,1
GSCR-JT6,1,1
L18K-NK1,15,1
KC3M-XCD,6,1
KC3M-XCD,7,1
KC3M-XCD,8,2
L4ML-WPL,2,1
LBL7-H95,2,1
LYD5-RLM,5,1
GMYH-PMK,0,1
GMYH-PMK,3,2
GMYH-PMK,3,3
GMYH-PMK,9,1
GSCR-PTS,10,1
9F89-3CD,4,1
KLDN-HGH,1,1
9KZ5-L8L,8,1
KJ25-9NY,0,2
LRML-K9Y,3,3
GSCY-JDH,8,1
K4DP-MJL,8,2
9JH5-NZP,6,2
L7WR-5T9,7,1
GSC1-DXF,3,6
GSC1-DXF,5,1
GSCT-X4J,2,1
GMSP-2D4,3,1
KLZ6-Z7S,0,1
L7Z5-5CG,0,1
L7Z5-5CG,14,2
LM9Z-MVL,1,1
GSCG-1C7,0,1
GSCG-1C7,1,6
27FC-G3H,13,1
M7M7-SDK,1,1
M7M7-SDK,2,1
L5K8-436,0,1
L17W-PT9,18,1
LT5Y-BRH,0,1
LT5Y-BRH,1,2
GSCT-SLS,2,1
9JMG-XBR,4,1
9JMG-XBR,7,1
9JMG-XBR,10,1
L28F-4FX,7,1
KHPZ-SQP,7,1
L7CP-ZN9,0,2
L5NH-9ZG,0,1
L5NH-9ZG,4,1
LH6K-T1L,3,2
9MGL-DQP,6,1
9MGL-DQP,13,2
LDJT-YRB,2,1
GSCT-DGS,0,2
GSCT-DGS,6,6
GSCT-DGS,12,2
LJJ1-3DM,1,1
LJJ1-3DM,1,5
L6VX-38D,0,2
L8RP-89F,9,1
GM21-D15,14,2
LR5X-893,8,3
9HRF-HD9,9,1
GMT8-WDF,1,1
GMT8-WDF,3,2
GSCT-BQ6,2,1
LTQS-1XJ,8,1
LYHR-RX3,1,2
LVX8-ZYS,17,1
GSC1-N69,5,1
GSCT-Y4F,5,1
LZP6-NWM,4,1
GSCR-JQM,4,1
GSCK-BDV,6,3
GSCT-VS5,2,1
GSCT-VS5,6,1
GSCT-K8D,1,1
GSCT-K8D,1,2
GSCT-K8D,6,7
GSCT-K8D,13,2
