PID,code,social,honorary_or_political,obs15,professional,professional,gent_club,country_club,frat_order,hereditary,undergrad_club
GSCY-7LB,313,1,0,1.0,0,0,0,0,0,0,0
LVZK-9R9,3,0,0,1.0,1,0,0,0,0,0,0
LVZK-9R9,14,0,0,1.0,1,0,0,0,0,0,0
LVZK-9R9,55,0,0,1.0,1,0,0,0,0,0,0
LVZK-9R9,193,0,0,1.0,1,0,0,0,0,0,0
GSCT-J8P,58,1,0,1.0,0,0,0,0,1,0,0
LHH8-YQ3,32,1,0,1.0,0,0,0,1,0,0,0
LHH8-YQ3,46,1,0,1.0,0,0,0,0,0,0,0
LHH8-YQ3,87,1,0,1.0,0,0,0,0,0,0,0
LHH8-YQ3,169,1,0,1.0,0,0,0,1,0,0,0
LVY3-MZR,73,1,0,1.0,0,0,0,0,1,0,0
LVY3-MZR,87,1,0,1.0,0,0,0,0,0,0,0
L6FX-K41,188,1,0,1.0,0,0,0,0,0,0,0
L6FX-K41,191,0,0,1.0,1,0,0,0,0,0,0
LRBW-G5L,32,1,0,1.0,0,0,0,1,0,0,0
LRBW-G5L,76,1,0,1.0,0,0,1,0,0,0,0
LRBW-G5L,79,1,0,1.0,0,0,0,1,0,0,0
GSCB-S6D,31,1,0,1.0,0,0,0,1,0,0,0
GSCB-S6D,32,1,0,1.0,0,0,0,1,0,0,0
GSCB-S6D,46,1,0,1.0,0,0,0,0,0,0,0
GSCB-S6D,76,1,0,1.0,0,0,1,0,0,0,0
GSCB-S6D,85,1,0,1.0,0,0,0,1,0,0,0
GSCB-S6D,87,1,0,1.0,0,0,0,0,0,0,0
GSC1-GSK,48,1,0,1.0,0,0,0,0,0,0,0
GSC1-GSK,87,1,0,1.0,0,0,0,0,0,0,0
LBWY-RZ8,104,0,0,1.0,1,0,0,0,0,0,0
LBWY-RZ8,197,0,0,1.0,1,0,0,0,0,0,0
LBWY-RZ8,199,0,0,1.0,1,0,0,0,0,0,0
99MN-VVX,87,1,0,1.0,0,0,0,0,0,0,0
99MN-VVX,137,0,0,1.0,0,0,0,0,0,0,0
99MN-VVX,169,1,0,1.0,0,0,0,1,0,0,0
99MN-VVX,188,1,0,1.0,0,0,0,0,0,0,0
99MN-VVX,222,1,0,1.0,0,0,0,1,0,0,0
99MN-VVX,277,1,0,1.0,0,0,1,0,0,0,0
L2YF-T1L,6,0,0,1.0,1,0,0,0,0,0,0
L2YF-T1L,59,1,0,1.0,0,0,0,0,1,0,0
L2YF-T1L,186,0,0,1.0,1,0,0,0,0,0,0
L2YF-T1L,190,0,0,1.0,1,0,0,0,0,0,0
L2YF-T1L,193,0,0,1.0,1,0,0,0,0,0,0
L8S8-4NW,76,1,0,1.0,0,0,1,0,0,0,0
L8S8-4NW,78,1,0,1.0,0,0,1,0,0,0,0
L8S8-4NW,148,1,0,1.0,0,0,0,1,0,0,0
L8S8-4NW,169,1,0,1.0,0,0,0,1,0,0,0
LMW5-69D,56,1,0,1.0,0,0,1,0,0,0,0
LMW5-69D,78,1,0,1.0,0,0,1,0,0,0,0
LMW5-69D,246,1,0,1.0,0,0,1,0,0,0,0
GSCB-P3H,23,0,0,1.0,1,0,0,0,0,0,0
GSCB-P3H,46,1,0,1.0,0,0,0,0,0,0,0
GSCB-P3H,87,1,0,1.0,0,0,0,0,0,0,0
GSCB-P3H,99,0,0,1.0,1,0,0,0,0,0,0
GSCB-P3H,190,0,0,1.0,1,0,0,0,0,0,0
GSCB-P3H,193,0,0,1.0,1,0,0,0,0,0,0
LTBQ-GWZ,82,1,0,1.0,0,0,0,0,0,0,0
27XN-P95,5,0,0,1.0,1,0,0,0,0,0,0
27XN-P95,32,1,0,1.0,0,0,0,1,0,0,0
27XN-P95,37,1,0,1.0,0,0,0,1,0,0,0
27XN-P95,46,1,0,1.0,0,0,0,0,0,0,0
27XN-P95,76,1,0,1.0,0,0,1,0,0,0,0
27XN-P95,87,1,0,1.0,0,0,0,0,0,0,0
27XN-P95,168,0,0,1.0,1,0,0,0,0,0,0
27XN-P95,176,1,0,1.0,0,0,0,1,0,0,0
LZ5W-RTM,46,1,0,1.0,0,0,0,0,0,0,0
LZ5W-RTM,87,1,0,1.0,0,0,0,0,0,0,0
GMMW-VL1,46,1,0,1.0,0,0,0,0,0,0,0
GMMW-VL1,87,1,0,1.0,0,0,0,0,0,0,0
GMMW-VL1,332,1,0,1.0,0,0,0,0,0,0,1
GSC5-PL3,5,0,0,1.0,1,0,0,0,0,0,0
GSC5-PL3,168,0,0,1.0,1,0,0,0,0,0,0
GSC5-1K5,65,0,0,1.0,1,0,0,0,0,0,0
GSC5-1K5,186,0,0,1.0,1,0,0,0,0,0,0
GSC5-1K5,190,0,0,1.0,1,0,0,0,0,0,0
L2CY-Q4K,7,0,1,1.0,1,0,0,0,0,0,0
L2CY-Q4K,121,0,0,1.0,1,0,0,0,0,0,0
L2CY-Q4K,268,1,0,1.0,0,0,0,0,0,0,0
