fitrank_by1,fitrank_by2,fity_by1,fity_by2
-.25974189,-.25637608,2.7693463,2.3112361
-.13605068,-.13583029,2.8304634,2.4140537
-.07354043,-.07405993,2.7819015,2.3980296
-.03478443,-.03260819,2.8105089,2.4331466
-.00546434,-.00803744,2.7869413,2.3084536
.00346422,.00340177,2.7844757,2.4189676
.02744738,.02606482,2.7513353,2.3855526
.06638098,.06788252,2.7304256,2.3672307
.14061559,.14027917,2.7883438,2.3803932
.29093002,.28118098,2.8560112,2.4480474
