fitrank_by1,fitrank_by2,fity_by1,fity_by2
-.26638757,-.26250836,.00906225,.22995037
-.14034454,-.13796738,-.0321316,.11094851
-.07479051,-.07388127,-.07063392,.39409185
-.03466231,-.03203915,-.06774297,.28546806
-.00503818,-.0083939,-.00272832,.23074258
.00331204,.00356474,-.01909955,.27215849
.02666692,.02530672,-.07209416,.30300271
.06549228,.06613623,-.04459013,.37169893
.13942538,.13783263,-.06648695,.47033574
.28603117,.27801072,-.09891825,.32858058
