fitrank_by1,fitrank_by2,fity_by1,fity_by2
-.26308141,-.26102878,.34482901,.38173642
-.13878157,-.13735844,.33344441,.42643052
-.07453423,-.07368906,.33304147,.47210628
-.03511951,-.03219427,.33918157,.48162551
-.00516909,-.00830194,.34927543,.48298321
.00305645,.00307951,.34234201,.45150899
.02586217,.02458413,.32725153,.45605352
.06380272,.06577689,.3273431,.46806452
.1369477,.13674234,.33179761,.52668475
.2845909,.27602539,.34500189,.51413995
