PID,category code,subcategory code
GSCL-9BM,10,1
GSCL-CXT,12,1
GSCL-HZ7,18,1
GSCL-MGK,2,1
GSCL-MGK,10,1
GSCL-SRF,8,1
GSCL-YSB,1,1
GSCL-YSB,6,2
GSCM-5CD,0,1
GSCM-5CD,1,2
GSCP-H1M,0,2
GSCP-SHW,3,2
GSCR-17N,1,2
GSCR-1GC,2,1
GSCR-1NV,6,7
GSCR-1SY,2,1
GSCR-27D,3,7
GSCR-2D4,0,1
GSCR-2D4,3,6
GSCR-2MS,1,5
GSCR-2MS,18,1
GSCR-4LQ,0,1
GSCR-4LQ,6,3
GSCR-5PN,3,4
GSCR-5PN,7,1
GSCR-5PN,10,1
GSCR-5PN,16,1
GSCR-6SR,3,2
GSCR-BXT,13,1
GSCR-C55,4,1
GSCR-GQH,2,1
GSCR-H92,2,1
GSCR-J7B,15,1
GSCR-JQM,4,1
GSCR-JT6,1,1
GSCR-KPV,3,2
GSCR-LC4,14,2
GSCR-N3Q,7,1
GSCR-NFS,3,2
GSCR-NVW,2,1
GSCR-PNB,6,1
GSCR-PNB,6,9
GSCR-PTS,10,1
GSCR-RDY,0,1
GSCR-RDY,6,1
GSCR-RDY,6,9
GSCR-RDY,7,1
GSCR-RFQ,2,1
GSCR-WKQ,0,1
GSCR-WKQ,13,3
GSCR-YH9,2,1
GSCR-ZDD,3,1
GSCR-ZTG,4,1
GSCT-2SY,1,2
GSCT-31G,4,1
GSCT-37G,1,6
GSCT-3PQ,1,1
GSCT-3PQ,6,7
GSCT-3QX,7,1
GSCT-3XX,4,1
GSCT-4CH,0,1
GSCT-4NX,2,1
GSCT-4Q2,0,2
GSCT-4SG,8,1
GSCT-4SG,8,3
GSCT-4SL,2,1
GSCT-5K8,1,4
GSCT-5K8,3,6
GSCT-5K8,6,6
GSCT-5MD,0,2
GSCT-5MD,12,2
GSCT-6BG,16,1
GSCT-6F1,1,4
GSCT-6N3,8,2
GSCT-75J,0,1
GSCT-75J,0,2
GSCT-7H7,4,1
GSCT-7HT,3,3
GSCT-8CB,6,2
GSCT-8RC,8,1
GSCT-93X,3,1
GSCT-96R,2,1
GSCT-99H,0,1
GSCT-99H,1,3
GSCT-99J,1,4
GSCT-9WS,3,3
GSCT-9WS,11,1
GSCT-B8L,0,2
GSCT-BD3,2,1
GSCT-BK1,8,1
GSCT-BQ6,2,1
GSCT-C7L,1,6
GSCT-DGS,0,2
GSCT-DGS,6,6
GSCT-DGS,12,2
GSCT-DPB,2,1
GSCT-F5F,3,6
GSCT-F5F,4,1
GSCT-F5F,4,2
GSCT-FG2,5,1
GSCT-FG2,14,1
GSCT-FRZ,4,1
GSCT-G9S,8,2
GSCT-H5F,5,1
GSCT-HHG,0,1
GSCT-HHG,0,2
GSCT-HHG,2,1
GSCT-HVC,7,1
GSCT-J8P,1,3
GSCT-J8P,1,5
GSCT-J8P,1,6
GSCT-J8P,3,5
GSCT-K8D,1,1
GSCT-K8D,1,2
GSCT-K8D,6,7
GSCT-K8D,13,2
GSCT-K8D,15,1
GSCT-KFJ,8,3
GSCT-KJG,3,3
GSCT-L1R,6,1
GSCT-L1R,6,9
GSCT-L1R,7,1
GSCT-L4S,0,1
GSCT-L4S,2,1
GSCT-LSW,11,1
GSCT-M6Z,7,1
GSCT-MD7,0,1
GSCT-MYY,0,2
GSCT-MYY,3,2
GSCT-NPT,1,1
GSCT-NVT,2,1
GSCT-PGR,11,1
GSCT-PXD,2,1
GSCT-PY5,0,1
GSCT-PY5,1,3
GSCT-PY5,3,3
GSCT-Q12,5,2
GSCT-Q8M,4,1
GSCT-QCJ,2,1
GSCT-QDM,0,1
GSCT-QDM,1,1
GSCT-QLW,11,1
GSCT-RGL,5,1
GSCT-RJB,2,1
GSCT-SK8,3,1
GSCT-SK8,3,2
GSCT-SLS,2,1
GSCT-SRK,0,1
GSCT-T3J,7,1
GSCT-V89,6,1
GSCT-V89,6,9
GSCT-VFP,1,1
GSCT-VFP,2,1
GSCT-VS5,2,1
GSCT-VS5,6,1
GSCT-W8S,2,1
GSCT-WDB,0,1
GSCT-WDB,0,2
GSCT-WM6,1,1
GSCT-X27,6,3
GSCT-X4J,2,1
GSCT-XMW,1,1
GSCT-Y4F,5,1
GSCT-Z7K,0,1
GSCT-Z7K,3,4
GSCT-ZV2,3,3
GSCY-1D3,0,1
GSCY-1D3,1,1
GSCY-1D3,2,1
GSCY-2TP,7,1
GSCY-39F,4,1
GSCY-39F,6,2
GSCY-39F,7,1
GSCY-3JF,2,1
GSCY-5MZ,2,1
GSCY-72Z,12,2
GSCY-7LB,0,2
GSCY-7LB,3,2
GSCY-82T,3,2
GSCY-8C9,15,1
GSCY-8FV,3,1
GSCY-8FV,6,3
GSCY-9JP,2,1
GSCY-GFK,2,1
GSCY-GMG,2,1
GSCY-GRC,7,1
GSCY-JDH,8,1
GSCY-JJB,4,1
GSCY-JJB,4,2
GSCY-JJB,6,1
GSCY-JJB,6,9
GSCY-JJB,7,1
GSCY-JYN,2,1
GSCY-KWV,11,1
GSCY-LQV,0,1
GSCY-LTZ,3,4
GSCY-MF3,3,2
GSCY-N14,0,1
GSCY-NLF,13,1
GSCY-PPP,1,1
GSCY-PPP,1,2
GSCY-QWP,2,1
GSCY-R6S,4,1
GSCY-RD9,11,1
GSCY-RFH,8,1
GSCY-S28,4,1
GSCY-THT,2,1
GSCY-V9C,0,1
GSCY-V9C,3,2
GSCY-VSD,3,1
GSCY-VSD,3,2
GSCY-WT9,10,1
GSCY-X2B,2,1
GSCY-Y8X,3,2
GSSK-259,4,1
GSWN-K6W,1,1
GSWN-K6W,1,6
GSZM-61F,1,4
GSZM-61F,2,1
GSZM-WK8,0,1
GSZM-WK8,1,1
GSZM-WK8,1,2
GSZM-ZCW,0,1
GSZM-ZCW,4,1
GSZM-ZCW,7,1
GSZM-ZT1,1,3
GSZS-Q7T,11,1
GSZS-S3M,3,2
K25G-D9V,1,1
K25G-D9V,1,6
K25H-THD,0,1
K25H-THD,1,3
K2P1-PYM,6,1
K2P1-PYM,6,9
K2P7-G93,15,1
K2PJ-JZV,0,2
K2PJ-JZV,6,3
K2R6-TYT,7,1
K4DP-MJL,8,2
K6QW-3P2,1,6
K824-Z75,9,1
K8BL-BHQ,1,4
K8GS-JD5,1,3
K8GS-JD5,1,4
K8GS-JD5,11,1
K8JZ-SQG,5,1
K8Q4-SBB,9,1
K8QG-SP4,0,1
K8S1-H4Q,2,1
KC3M-XCD,6,9
KC3M-XCD,7,1
KC3M-XCD,8,2
KCVB-91Y,13,1
KCXM-JF4,4,1
KD1C-BMC,0,2
KD1C-BMC,6,9
KD1C-BMC,7,1
KDW3-7Z4,15,1
KFR4-7ZL,10,2
KH5K-6HB,7,1
KHJS-C59,0,2
KHJS-C59,1,6
KHM2-V4N,0,1
KHMS-21D,1,6
KHNY-7SN,1,1
KHPZ-SQP,7,1
KHVZ-Z9X,2,1
KHWV-CCD,11,1
KHWV-CCD,12,2
KJ25-9DF,5,1
KJ25-9NY,0,2
KJGC-7ZC,7,1
KJLV-LFD,3,4
KJPN-TM7,5,1
KK79-RCW,3,2
KKQ9-W4C,0,1
KKQ9-W4C,6,1
KKQ9-W4C,6,6
KKQ9-W4C,6,9
KKQ9-W4C,7,1
KL6V-VFG,7,1
KL8B-D11,0,2
KL8B-D11,8,2
KLCD-QNK,1,1
KLCD-QNK,1,2
KLCH-X8P,3,2
KLDN-HGH,1,1
KLW7-762,2,1
KLWD-PBW,2,1
KLZ6-Z7S,0,1
KLZ9-6GZ,1,1
KN6Y-1FZ,2,1
KNBR-2QV,1,1
KPH5-6C2,8,2
KVVM-KKJ,3,2
KVVM-KKJ,5,1
KVVM-KKJ,11,1
KVVM-KKJ,13,3
KZ6Z-WWH,0,2
KZ6Z-WWH,3,2
KZ6Z-WWH,13,3
KZSS-QZL,16,1
L115-4T8,7,1
L115-4T8,13,2
L12W-3K3,2,1
L13K-6DR,0,1
L15V-XXP,1,6
L17W-PT9,18,1
L188-NGH,4,1
L18J-31Z,2,1
L18K-NK1,15,1
L1DW-TJD,4,1
L1HQ-3J3,4,1
L1P6-GGB,6,3
L1Q3-25K,18,1
L1T4-2QQ,0,2
L1T4-2QQ,3,4
L1T4-2QQ,6,1
L1T4-2QQ,6,6
L1VM-R55,6,2
L1VM-R55,13,3
L1WR-K56,0,2
L1WR-K56,12,2
L1ZF-RR4,3,5
L1ZF-RR4,10,1
L21Q-LVL,6,1
L252-8PM,7,1
L26F-FTG,1,1
L26F-FTG,1,2
L26Z-FBX,1,1
L26Z-FBX,1,6
L28F-4FX,7,1
L2CW-D3J,6,7
L2CY-Q4K,1,1
L2CY-Q4K,8,1
L2GJ-NFV,4,1
L2HJ-6DH,3,1
L2HJ-6DH,3,2
L2KG-NP8,0,1
L2KG-NP8,3,2
L2MS-6GB,7,1
L2PD-1LF,1,1
L2SW-KRD,0,2
L2SW-KRD,4,2
L2T3-WCM,0,2
L2TN-HJY,5,1
L2YF-T1L,6,1
L2YF-T1L,6,3
L2YF-T1L,16,1
L2YM-5TJ,4,1
L2YM-5TJ,4,2
L2YR-SYL,6,1
L2YR-SYL,6,9
L2ZY-NFC,0,1
L2ZY-NFC,0,2
L2ZY-NFC,1,3
L2ZY-NFC,11,1
L45P-LZM,0,1
L45P-LZM,1,6
L45T-SFP,10,1
L461-3NG,7,1
L461-3NG,13,2
L461-4SP,7,1
L461-4SP,10,1
L465-62K,0,1
L465-62K,11,1
L465-6VG,1,1
L465-6VG,1,3
L465-8C2,0,1
L46G-2PX,11,1
L46T-6XR,0,1
L46T-6XR,1,1
L46T-6XR,13,1
L46T-LDV,0,1
L46T-LK7,1,3
L48H-ZZ4,6,1
L48H-ZZ4,6,9
L48H-ZZ4,8,2
L4DZ-KX6,0,1
L4DZ-KX6,2,1
L4ML-WPL,2,1
