PID,street,city,state
L6KM-2Y4,NATIONAL CARBON CO INC ST,ALBANS,TN
GSJD-Y7R,AMERICAN CYANAMID,NEW YORK,NY
LRTZ-9RH,AMERICAN TELEPHONE TELEGRAPH,NEW YORK,NY
GS83-M8V,WALNUT PL,PHILADELPHIA,PA
GSJW-MW6,US ARMY,,~
LK9C-4HZ,ROGERS FIELD GENTRY  JACKSON ATTORNEYS,KANSAS,MO
GSJL-SJM,ALONZO J HARRIMAN INC  COURT ST,AUBURN,ME
LRHJ-CCB,PEPSICOLA DE FRANCE,PARIS,FRANCE
GSNZ-8DX,ST PAULS EPISCOPAL CHURCH,BRIDGEPORT,CT
L2Q1-7DB,WILLIAM ZAKON  SONS,BROOKLINE,MA
GSVV-TTN,PHILLIPS MORSE ALTMAN  GALVIN  SRATE ST,BOSTON,MA
GSJW-7PJ,BOSTON UNIVERSITY,BOSTON,MA
GSJG-178,THE WRIGHT LINE INC,BOSTON,MA
GSVZ-JWJ,INLAND STECL CO,ISHPEMING,MI
GSJ6-MSK,THE SEFTON COMPANY INC,NEW CANAAN,CT
LJL1-MLH,NEPTUNO,HABANA,CUBA
KDB7-9XL,CO CAPITAL TIMES,MADISON,WI
GSXY-4BF,LANGNER PARRY CARD LANGNER,NEW YORK,NY
LLCV-QFF,IRVING PARK RD,CHICAGO,IL
GS6T-DX3,CINCH MANUFACTURING CORP  S HOMAN AVE,CHICAGO,IL
GSF3-9N7,CLAPP LABORATORY,SOUTH HADLEY,MA
GS86-PYK,EDIFICIO MERCEDES PARQUE DE BERRIO,MEDELLIN,COLOMBIA
GSC2-QR8,,,
GSVC-32Y,GUY GANNETT PUBLISHING CO,PORTLAND,ME
GSVX-HZ3,UNION MUTUAL LIFE INSURANCE CO,PORTLAND,ME
LVDR-3HH,COVINGTON  BURLING,WASHINGTON,DC
LTG3-3XN,CULHANE CLINIC,ROCKFORD,IL
GS8Q-92F,LURIE ALPER  GOROVITZ  DEVONSHIRE ST,BOSTON,MA
MZQX-K6H,JOLIET CHEMICAL INC PO BOX,JOLIET,IL
GS84-682,CENTRAL MINITMAN SYSTEM  UNION COMMERCE BLD,CLEVELAND,OH
GS8Q-Z24,STATE ST,BOSTON,MA
GSVZ-WCG,DRESSER MANUFACTURING DIVISION,BRADFORD,PA
L681-VDQ,GEORGE A HORMEL  CO,AUSTIN,MN
GSJD-W74,DEPT OF HEALTH,TRUMBULL,CT
LBRM-T7T,SCHUERMAN  FROST ENGINEERS,POUGHKEEPSIE,NY
GS6X-MQ1,GROSVENOR SQ,LONDON,ENGLAND
GSF7-YTJ,FEDERAL BUREAU OF INVESTIGATION,MARGATE,NJ
GS6J-3GW,U S DEPT OF COMMERCE,WASHINGTON,DC
GSJ7-WTL,WHITING MILK CO,CAMBRIDGE,MA
GSZQ-V21,CRAMER POSTURE CHAIR CO,KANSAS,MO
GSNB-QHH,C B SNYDER NATIONAL REALTY CO,NEW YORK,NY
GMB8-7Q4,L  R ORGANIC PRODUCTS CO,NEW YORK,NY
L1NQ-WYG,PAN AMERICAN WORLD AIRWAYS,SAN FRANCISCO,CA
27DJ-MM6,STATE ST,BOSTON,MA
LYM1-DK1,LEDERER LIVINGSTON,CHICAGO,IL
LYHR-TJN,MAIN ST,AVON,NJ
GMM3-961,BRIGHTON AVE,ALLSTON,MA
LY6C-74R,LIBERTY MUTUAL INSURANCE,WORCESTER,MA
LVK5-9BT,N PULASKI RD,CHICAGO,IL
GS8Q-QJD,BISCAYNE BLDG,MIAMI,FL
GSD8-RDG,TREMONT ST,BOSTON,MA
GSXB-SQV,GENERAL MOTORS LTD  BUCKINGHAM GATE,LONDON,ENGLAND
LB33-W69,RH LONG MOTOR SALES,FRAMINGHAM,MA
GSF8-Z7F,GOODERHAM  WORTS,BUFFALO,NY
L5VB-Y1J,MIDDLEBOROUGH SAVINGS BANK  S,MIDDLEBORO,MA
GSC1-2WR,WASHINGTON ST,BOSTON,MA
GS6X-WR7,W TH ST,NEW YORK,NY
GSXL-CVK,SPRING ST,BRIDGEWATER,MA
GSVD-WTZ,AMERICAN BILTRITE RUBBER CO,CHELSEA,MA
LBXR-PXW,WEINERS STORE  E OHIO ST,PITTSBURGH,PA
LC51-8QL,METROPOLITAN MUSEUM OF ART,NEW YORK,NY
LLWC-VXQ,MIDLAND BROKERAGE,WESTON,CT
GSFV-Y1M,GENE JANTZEN CHEVROLET CO,ST LOUIS,MO
GSVK-FFK,HISTORY DEPT RUTGERS UNIVERSITY,NEW BRUNSWICK,NJ
GS84-H3Q,UNION CARBIDE  CARBON CORP  E ND ST,NEW YORK,NY
GS83-CX8,BROADWAY NEW YORK  N Y BORN APRIL,NEW YORK,NY
L2FW-C2M,C H SPRAGUE  SON CO  POST OFFICE SQ,BOSTON,MA
L5ZC-1XQ,VIKING AIR CONDITIONING CORP,LAND,OH
GSJ6-NPR,INSURANCE CO OF NORTH AMERICA,NEW YORK,NY
GSZ3-VPT,OFFICE OF SPECIAL REPRESENTATIVE,BERKELEY,CA
L159-9SG,FEDERAL ST,SALEM,MA
LRYK-DSB,OPERATIONS RESEARCH OFFICER JOHNS HOPKINS UNIVERSITY,BALTIMORE,MD
GS61-849,DEWEY BALLANTINE BUSHBY PALMER WOOD,NEW YORK,NY
GM2T-Z24,DEWEY BALLANTINE BUSHBY PALMER WOOD,NEW YORK,NY
LKVW-RDX,STEVENSDAVIS CO  W JACKSON BIVD,CHICAGO,IL
LWYL-V14,BELMONT HILL SCHOOL,BELMONT,MA
LR83-KSM,R M BRADLEY  CO INC  BOYLSTON ST,BOSTON,MA
GSVR-5Z6,REPUBLIC PIPE SUPPLY,BOSTON,MA
LQRQ-KQN,ROBERT HELLER  ASSOCIATES,CLEVELAND,OH
GSX2-2MJ,READING MEMORIAL HIGH SCHOOL,READING,MA
GS8W-FV3,SARATOGA COUNTY LABORATORY,SARATOGA SPRINGS,NY
LVS6-XWP,ROTRON MANUFACTURING CO,WOODSTOCK,NY
GSNK-YHT,CARLON PRODUCTS CORP  HIGHLAND AVE,SOMERVILLE,MA
GSVJ-TL9,SYLVANIA ELECTRONIC SYSTEMS DIVISION,ROWLEY,MA
L8MR-VKH,UNION UNIVERSITY,JACKSON,TN
GS83-JYP,HARVARD SCHOOL OF DENTAL MEDICINE  SHATTUCK ST,BOSTON,MA
L27F-8N2,THE PANAMA CANAL,CANAL ZONE,PANAMA
9DND-SH7,UNION LAND GRAZING,COLORADO SPRINGS,CO
GMH1-JX6,ALTA VISTA DRIVE,YONKERS,NY
LZFP-F19,HQS USARPAC APO   POSTMASTER,SAN FRANCISCO,CA
GSHB-BMZ,ANDARIVELES DE CORDILLERA A,SANTIAGO,CHILE
L2YW-BJN,WARREN BROTHERS ROADS CO  MEMORIAL DRIVE,CAMBRIDGE,MA
GSVH-JWD,THOMAS JEFFERSON ROOM LIBRARY OF CONGRESS,WASHINGTON,DC
LHT7-K4R,BROOKINGS INSTITUTION  JACKSON PL NW,WASHINGTON,DC
